ingredient,source,skin_type,notes,confidence,effect
hydrolyzed opuntia ficus indica flower extract,manual,"dry,sensitive",botanical,low,good
bellis perennis flower helichrysum italicum extract,manual,normal,botanical extract,low,good
l lactic acid,manual,"dry,wrinkle",gentle exfoliant,high,good
sulfate detergents,manual,,,low,neutral
visit the too cool for school boutique,,,,low,neutral
soybean sterols,manual,,,low,neutral
organic glycerin,manual,"dry,normal",humectant,high,good
cedrus atlantica bark oil,manual,dry,emollient,low,good
certified organic,manual,,,low,neutral
ethylhexylglycerin glycerin,manual,"dry,normal",humectant,high,good
orange fruit extract,manual,"pigmentation,wrinkle",vitamin/antioxidant,low,good
rose centifolia flower water,manual,"dry,sensitive",botanical,low,good
lonicera japonica flower extract flower),manual,"dry,sensitive",botanical,low,good
picea abies extract,manual,normal,botanical extract,low,good
fragrance++,manual,sensitive,fragrance; may irritate,high,avoid
aloe yohjyu matsu ekisu,manual,,,low,neutral
cire microcristalline,manual,,,low,neutral
fuscoporia obliqua extract,manual,normal,botanical extract,low,good
elastomer,manual,,,low,neutral
sodium caproyl lauroyl lactylate,manual,,,low,neutral
chamomile recutita flower oil,manual,"dry,sensitive","soothing, anti-inflammatory",high,good
octocrylene 28%water,manual,,,low,neutral
grape-seed polyphenols,manual,,,low,neutral
organic goji berry extract,manual,normal,botanical extract,low,good
dispacus sylvestris extract,manual,normal,botanical extract,low,good
"sd alcohol 40-b,glycerin,dipropylene glycol,dimethicone,ethylhexyl palmitate,polybutylene glycol ppg-9 1 copolymer,silica,trehalose,betaine,glycyl glycine,lauryl betaine,paeonia albiflora root extract,hamamelis virginiana leaf extract,lamium album flower extract,citrus junos seed extract,zingiber aromaticus extract,peg-20 glyceryl isostearate,triisostearin,triethanolamine,isostearic acid,alcohol,butylene glycol,carbomer,batyl alcohol,behenyl alcohol,acrylates c10-30 alkyl acrylate crosspolymer,trisodium edta,sodium metabisulfite,bht,phenoxyethanol,sodium benzoate,benzoic acid,fragrance,titanium dioxide,mica",manual,sensitive,fragrance; may irritate,high,avoid
gly- cerin,manual,,,low,neutral
evening primrose oil simmondsia chinensis oil,manual,"dry,oily",balancing oil,high,good
hamamelis virginiana bark leaf twig extract,manual,"oily,sensitive","astringent, soothing",high,good
"sodium benzoate virgin marula luxury facial oil: sclerocarya birrea seed oillala retro™whipped creamwater,glycerin",manual,dry,emollient,medium,good
glycine sojo oil,manual,dry,emollient,low,good
aden- osine,manual,,,low,neutral
peach fruit extract,manual,"pigmentation,wrinkle",vitamin/antioxidant,low,good
cymbopogan schoenanthus oil,manual,dry,emollient,low,good
organic sucrose,manual,,,low,neutral
ppg-3 caprylyl ether,manual,normal,formulation,low,neutral
titanium dioxide 170%water,manual,normal,UV/color,high,neutral
lactobacillis,manual,,,low,neutral
ceteareth–20,manual,,,low,neutral
acrylic acid acrylamidomethyl propane sulfonic acid copolymer,manual,normal,formulation,low,neutral
behenylalcohol,manual,,,low,neutral
darutoside* *plant origin,manual,,,low,neutral
"caprylyl glycol,acrylates c10-30 alkyl acrylate crosspolymer",manual,normal,formulation,low,neutral
cardiospermum halicacabum flower leaf vine extract,manual,normal,botanical extract,low,good
linalool* *100% natural fragrance 100% natural,manual,sensitive,fragrance; may irritate,high,avoid
water squalane,manual,normal,solvent/base,high,neutral
camellia sinensis callus culture conditioned media,manual,"oily,wrinkle",antioxidant,high,good
citronella oil,manual,dry,emollient,low,good
titanium oxide,manual,,,low,neutral
ocimum tenuiflorum,manual,,,low,neutral
porphyrid-ium cruentum extract,manual,normal,botanical extract,low,good
tanecetum annuum oil,manual,dry,emollient,low,good
jojobaesters,manual,"dry,oily",balancing oil,high,good
blue no 1,manual,,,low,neutral
centella extract,manual,"sensitive,wrinkle","soothing, barrier",high,good
triethanolamine chlorphenesin,manual,,,low,neutral
cucumber fruit extract curcuma longa extract,manual,"dry,sensitive","soothing, hydrating",medium,good
and refines skin texture -natural bioretinols : harness the power of retinol compounds to help minimize the signs of aging -advanced hydrafill™ complex (pfc-oxygen carriers,manual,wrinkle,cell turnover,high,good
stearyl,manual,,,low,neutral
helianthus annus seed oil,manual,dry,emollient,medium,good
betain,manual,,,low,neutral
castanea sativa bark,manual,,,low,neutral
eugenol* *plant origin,manual,,,low,neutral
oxybenzone 300%,manual,,,low,neutral
titanium dioxide * essential oil out of trouble™ 10 minute mask: water,manual,normal,UV/color,high,neutral
sodiumascorbylphosphate,manual,"pigmentation,wrinkle","antioxidant, brightening",high,good
zinc palmitoyl nonapeptide-14,manual,wrinkle,signal peptide,medium,good
fish collagen,manual,,,low,neutral
undaria pinnatifda extract,manual,normal,botanical extract,low,good
sodium hydrozide,manual,,,low,neutral
"xanthan gum,acrylates c10-30 alkyl acrylate cross-polymer",manual,normal,formulation,low,neutral
san- talum album oil,manual,dry,emollient,low,good
opuntia tuna fruit extract,manual,"pigmentation,wrinkle",vitamin/antioxidant,low,good
ydrolyzed collagen,manual,,,low,neutral
ceramide-3,manual,,,low,neutral
frgrance,manual,,,low,neutral
tamarindus indica extract,manual,normal,botanical extract,low,good
and healthier look water,manual,,,low,neutral
and it has been known to treat and heal dry or damaged skin,manual,,,low,neutral
safflower glyceride palm oil aminopropanediol esters,manual,dry,emollient,low,good
polyglyceryl-3 esters,manual,dry,emollient,low,good
calendula officinalis flower extract*+,manual,"dry,sensitive",soothing,medium,good
bismuth oxychloride #glittermask gravitymud™ firming treatment: -teaoxi® complex : creates a firmer-looking complexion -vizitight (firming matrix,manual,,,low,neutral
peony root extract,manual,"sensitive,wrinkle",botanical,low,good
hdi copolymer bis-decyltetradeceth-20 ether,manual,normal,formulation,low,neutral
thiocticacid,manual,,,low,neutral
crocus sativus stigma extract,manual,normal,botanical extract,low,good
and nourishing akita rice is combined with hyaluronic acid to soften,manual,dry,humectant,high,good
gold leaf,manual,,,low,neutral
isodecyl neopentanoate diisopropyl sebacate,manual,,,low,neutral
-hyaluronic acid -red algae,manual,dry,humectant,high,good
calendula officinalis flower,manual,"dry,sensitive",soothing,medium,good
prunus armenaica seed powder,manual,,,low,neutral
lactic acid glycolic acid copolymer,manual,"oily,wrinkle",exfoliant,high,good
buriti oil,manual,dry,emollient,low,good
sabucus nigra fruit extract,manual,"pigmentation,wrinkle",vitamin/antioxidant,low,good
