ingredient,skin_type,effect,confidence,strength_hint
step 02 firming liquid ampoule,,,,
step 02 hydro liquid ampoule,,,,
step 02 soothing liquid ampoule,,,,
step one,,,,
step two,,neutral,low,
stereoisomer plant molecules,,,,
sterols,,,,
stevioside,,neutral,low,
stimulates blood flow,,,,
stimulating,,,,
stratixyl,,,,
strawberry,,,,
strengthen,,,,
strengthens,,neutral,low,
strengthens skin’s appearance,,,,
structure,,,,
styrene,,neutral,low,
styrene oxide,,,,
styrene),,,,
styrene-ethylene propylene-,,,,
stéarate de glycérine,,,,
subtly smooth visible imperfections,,,,
sugandh-bala,,,,
sugar,,neutral,low,
sugar biovector,,,,
sugar cane,,,,
sugar carbohydrate complex,,,,
sugar crystals,,,,
sugar maple,,,,
sugar maple),,,,
sugar prebiotic,,,,
sugar*+,,,,
sugar+,,,,
sugar-based cleansers,,,,
sugar-derived matrix,,,,
sugar-derived tanning booster,,,,
sugarleaf flower,,,,
sunscreen,,,,
sunscreen residue,,,,
super lotus,,,,
super sculpt active,,,,
super-veil 360,,,,
superberry antioxidants,,,,
supple,,,,
supple skin -juniper,,,,
support,,neutral,low,
support elasticity,,,,
support skin’s resilience,,,,
support the skin barrier,,neutral,low,
supporting skin’s resilience,,,,
supports,,neutral,low,
supports barrier strength,,,,
supports natural elasticity,,,,
supports skin elasticity,,neutral,low,
supports skin elasticity and firmness,,,,
supports skin firmness,,,,
supports the appearance of skin elasticity,,,,
supports the skin barrier,,,,
sustainable,,neutral,low,
sustainable apple-saccharide superfood complex,,,,
sweet,,,,
sweet basil mint,,,,
sweet blue agave leaf,,,,
sweet citrus,,,,
sweet flag herb,,,,
swelling,,,,
swiss alpine flower,,,,
symcontrol,,,,
synergen recovery complex,,,,
synthetic,,,,
synthetic fluorphlogopite,,neutral,low,
synthetic sapphire,,,,
syringylidenemalonate,,,,
tahitian noni leaf,,,,
tapioca,,,,
tapioca and rice,,,,
targets moisture loss,,,,
targets oxidative stress,,,,
tartaric,,neutral,low,
tasmanian pepperberry,,,,
tasmanian pepperberry derivative,,,,
tatcha's signature hadasei-3,,neutral,low,
tazman pepper,,,,
tbhq,,,,
tea-cocoyl glutamate,,neutral,low,
tea-myristate,,,,
tea-palmitate,,,,
tea-stearate,,,,
teasel,,,,
telovitin,,,,
terminalia bellirica,,,,
terminalia ferdinandiana fruit powder,,neutral,low,
terpineol,,neutral,low,
tetra-di-t-butyl hydroxyhydrocinnamate,,,,
tetradecane,,,,
tetradibutyl pentaerithrityl hydroxyhydrocinnammate,,,,
tetraethylhexanoate,,,,
tetrapotassium pyrophosphate,"oily,pigmentation",good,medium,
tetrasodium pyrophosphate,"oily,pigmentation",good,medium,
texture,,neutral,low,
tfc8,,,,
the bubble mask,,,,
the list of ingredients is subject to change,,,,
the microdelivery peel step i,,,,
the microdelivery peel step ii,,,,
the miracle broth,,,,
the mud mask,,,,
the primer mask,,,,
the process which accelerates skin aging,,,,
theobroma cacao seed powder,,,,
theobroma grandiflorum,,,,
thermus thermophillus fer -ment,,,,
thiamin,,,,
three soothing ingredients,,,,
thylparaben,,,,
thymol,,neutral,low,
thymol trimethoxycinnamate,,neutral,low,
tiger grass,,neutral,low,
tightens,,,,
tightens pores,,,,
time in a bottle,,,,
tin oxide,,neutral,low,
tinospora cordifolia,,,,
tint-free,,,,
tocopeherol,,,,
tocophérol,,,,
tocos,,,,
tocotrenials,,,,
tomato fruit,,,,
tone,,,,
tonka bean bio-ferment,,,,
totarol,,neutral,low,
touch-activated bamboo spheres,,,,
tourmaline,,neutral,low,
toxins,,,,
trade secret strawberry flavor,,,,
trans-anethole [ -anethole],,,,
translucency,,,,
treat,,,,
treats dryness,,,,
tremella fuciformis,,,,
tremella fuciformis 1,,,,
tremella mushroom,,,,
tri hydrogenated trilinoleate,,,,
tri-behenin,,,,
tri-fermented complex,,neutral,low,
triacetin,,neutral,low,
tricalcium phosphate,,,,
triclosan,,,,
trideceth-10,,neutral,low,
trideceth-12,,neutral,low,
trideceth-9,,neutral,low,
triethanolmaine,,,,
triethoxysilylethyl,,,,
triethyhexanoin,,,,
triethylene glycol,,neutral,low,
trimethoxybenzylidene pentanedione,,,,
triphala [emblica officinalis,,,,
triphala powder [amla,,,,
tris-bht mesitylene,,,,
trisodium,,,,
trisodium dicarboxymethyl alaninate,,,,
trisodium ethylene diamine disuccinate,,,,
trisodium ethylenediamine,,,,
trisodium ethylenediamine disuccinate,,neutral,low,
trisodium ethylenediaminedisuccinate,,,,
trisodium sulfosuccinate,,neutral,low,
tromethamine,,neutral,low,
trométhamine,,,,
tropolone,,neutral,low,
tsubaki,,,,
turnip leaf,,,,
two naturally sourced plant sugars,,,,
txas,,,,
ubiquione,,,,
ultra hydrating emollient blend,,,,
ultramarine blue,,,,
unclog pores,,,,
unclogs pores,,neutral,low,
undaria pinnatifida,,,,
uneven skin tone,,,,
uneven texture,,,,
uneven tone,,neutral,low,
unique delivery matrix,,,,
universal vanishing tint,,,,
unsaponifiables,,,,
upcycled tangerine peel,,,,
upcycled tangerine peel and sugar beet,,,,
uv filters,,,,
uvb,,,,
vaccinium macrocarpon seed,,,,
vaccinium macrocarpon seed powder,,,,
valerian root,,,,
valeriana brunoniana,,,,
valeriana wallichii,,,,
vanilla apricot,,,,
vanilla planifolia fruit,,,,
vegan,,,,
vegan epidermal growth factors,,,,
vegan stem cells,,,,
vegetable capsule,,neutral,low,
vegetable derived,,,,
vegetarian capsule,,,,
vetiver,,,,
vibrant,,,,
viniferine,,,,
vinolevure,,,,
violet flower,,,,
violet no2,,,,
viper’s bugloss,,,,
visible firmness,,,,
visible wrinkles,,,,
vitamin,,,,
vitamin trio,,,,
vitamin-rich,,,,
vitamins,,neutral,low,
vitamins a and e,,,,
vitamins c and e,,neutral,low,
vitamins e and c,,,,
vitis vinifera (organic,,,,
volcanic clusters,,,,
volcanic postbiotic complex,,,,
wakame,,,,
which allows the hair to be well nourished,,,,
white,,,,
white cabbage,,,,
white horehound,,,,
white oak bark,,neutral,low,
white peony,,,,
white stargrass,,,,
white tea,,,,
white team,,,,
whiteheads,,,,
wild harvested nordic pine,,,,
wild indigo seed,,,,
wild rose,,neutral,low,
wildcrafted frankincense,,,,
willowherb,,,,
winged kelp,,,,
winter cherry,,,,
winter cherry and beta carotene,,,,
wiped off or removed,,,,
with hazel and raspberry leaf,,,,
with skin-soothing,,,,
withania somnifera,"wrinkle,sensitive",good,low,
woodbine,,,,
wrinkles,,neutral,low,
wrinkles and lines,,,,
wy),,,,
xanthangum,,,,
xiyuan jade,,,,
xylanase,,,,
xylityglucoside,,,,
xylityloglucoside,,,,
yellow 10 ci 47005,,,,
yellow 6 rds product name,,,,
yellow-fruit nightshade,,,,
yerba mate and guayusa,,,,
yuzu,,,,
zeaxanthin,,,,
zerumbet ginger,,,,
zingiber,,,,
zingiber officinale,,,,
ziziphus mauritiana,,,,
zostera marina pectin,,,,
éthylhexylglycérine,,,,
‎acorus calamus,,,,
